Time,Driver,Position,GapToLeader,IntervalToPositionAhead
7.406,63,1,,
74.928,63,1,LAP 0,LAP 0
2850.445,63,2,LAP 0,LAP 0
2850.554,63,2,+0.065,+0.065
2855.804,63,2,+0.259,+0.259
2859.867,63,2,+0.252,+0.252
2866.617,63,2,+0.392,+0.392
2872.054,63,2,+0.435,+0.435
2876.275,63,2,+0.380,+0.380
2880.768,63,2,+0.234,+0.234
2884.244,63,1,LAP 0,LAP 0
2903.286,63,1,LAP 2,LAP 2
2908.107,63,2,LAP 2,LAP 2
2908.496,63,1,LAP 2,LAP 2
2910.357,63,2,LAP 2,LAP 2
2910.78,63,2,+0.356,+0.356
2916.084,63,2,+0.771,+0.771
2921.61,63,2,+0.997,+0.997
2925.024,63,2,+0.991,+0.991
2928.61,63,2,+0.818,+0.818
2935.829,63,2,+0.875,+0.875
2939.496,63,2,+0.824,+0.824
2943.69,63,2,+0.839,+0.839
2949.371,63,2,+0.854,+0.854
2953.944,63,2,+0.853,+0.853
2957.975,63,2,+0.849,+0.849
2964.417,63,2,+0.786,+0.786
2969.806,63,2,+0.714,+0.714
2973.997,63,2,+0.610,+0.610
2978.513,63,2,+0.494,+0.494
2982.228,63,2,+0.260,+0.260
2990.965,63,2,+0.296,+0.296
2995.212,63,2,+0.269,+0.269
2996.246,63,2,+0.321,+0.321
2998.69,63,2,+0.387,+0.387
3000.124,63,2,+0.393,+0.393
3000.874,63,2,+0.391,+0.391
3005.171,63,2,+0.340,+0.340
3006.53,63,3,+0.340,+0.340
3006.624,63,2,+0.340,+0.340
3006.655,63,2,+0.312,+0.312
3009.629,63,2,+0.337,+0.337
3014.021,63,2,+0.563,+0.563
3019.537,63,2,+0.667,+0.667
3022.88,63,2,+0.629,+0.629
3026.412,63,2,+0.564,+0.564
3033.646,63,2,+0.669,+0.669
3037.349,63,2,+0.643,+0.643
3041.491,63,2,+0.583,+0.583
3047.182,63,2,+0.615,+0.615
3051.791,63,2,+0.612,+0.612
3055.791,63,2,+0.624,+0.624
3062.182,63,2,+0.641,+0.641
3067.588,63,2,+0.589,+0.589
3071.791,63,2,+0.530,+0.530
3076.15,63,2,+0.249,+0.249
3079.697,63,1,LAP 3,LAP 3
3097.769,63,1,LAP 4,LAP 4
3105.643,63,2,LAP 4,LAP 4
3105.872,63,2,+0.176,+0.176
3110.919,63,2,+0.216,+0.216
3116.709,63,2,+0.396,+0.396
3120.065,63,2,+0.395,+0.395
3123.582,63,2,+0.192,+0.192
3131.365,63,2,+0.307,+0.307
3134.72,63,2,+0.264,+0.264
3138.939,63,2,+0.322,+0.322
3144.854,63,2,+0.438,+0.438
3149.55,63,2,+0.479,+0.479
3153.612,63,2,+0.517,+0.517
3160.139,63,2,+0.563,+0.563
3165.486,63,2,+0.474,+0.474
3169.667,63,2,+0.441,+0.441
3174.28,63,2,+0.500,+0.500
3178.097,63,2,+0.522,+0.522
3186.628,63,2,+0.495,+0.495
3190.745,63,2,+0.498,+0.498
3191.722,63,2,+0.520,+0.520
3194.064,63,2,+0.469,+0.469
3195.509,63,2,+0.443,+0.443
3196.228,63,2,+0.419,+0.419
3200.274,63,2,+0.116,+0.116
3201.416,63,2,+0.010,+0.010
3203.628,63,1,LAP 5,LAP 5
3208.577,63,2,LAP 5,LAP 5
3208.898,63,2,+0.293,+0.293
3214.451,63,2,+0.478,+0.478
3217.879,63,2,+0.508,+0.508
3221.375,63,2,+0.413,+0.413
3228.713,63,2,+0.584,+0.584
3232.369,63,2,+0.561,+0.561
3236.494,63,2,+0.550,+0.550
3242.228,63,2,+0.748,+0.748
3246.77,63,2,+0.782,+0.782
3257.084,63,2,+0.755,+0.755
3262.631,63,2,+0.782,+0.782
3266.85,63,2,+0.730,+0.730
3271.241,63,2,+0.451,+0.451
3274.897,63,2,+0.121,+0.121
3283.522,63,1,LAP 5,LAP 5
3293.164,63,1,LAP 6,LAP 6
3389.881,63,1,LAP 7,LAP 7
3486.829,63,1,LAP 8,LAP 8
3583.733,63,1,LAP 9,LAP 9
3680.808,63,1,LAP 10,LAP 10
3777.566,63,1,LAP 11,LAP 11
3874.812,63,1,LAP 12,LAP 12
3972.387,63,1,LAP 13,LAP 13
4078.212,63,1,LAP 14,LAP 14
4242.176,63,1,LAP 15,LAP 15
4390.542,63,1,LAP 16,LAP 16
4534.838,63,1,LAP 17,LAP 17
4630.395,63,1,LAP 18,LAP 18
4725.469,63,1,LAP 19,LAP 19
7.406,12,2,,
2809.068,12,3,,
2809.162,12,4,,
2809.365,12,5,,
2809.428,12,6,,
2809.569,12,7,,
2809.787,12,8,,
2809.85,12,8,+0.920,
2809.99,12,8,+1.000,+0.149
2813.225,12,8,+1.421,+0.275
2818.847,12,8,+1.981,+0.282
2825.129,12,8,+2.307,+0.370
2828.37,12,8,+2.395,+0.330
2831.836,12,8,+2.475,+0.374
2840.195,12,9,+2.475,+0.374
2840.292,12,9,+3.188,+0.058
2843.632,12,8,+3.188,+0.058
2843.726,12,8,+3.189,+1.036
2847.929,12,8,+3.141,+0.786
2854.226,12,8,+3.373,+0.370
2858.992,12,8,+3.367,+0.353
2862.898,12,8,+3.302,+0.269
2870.07,12,8,+3.618,+0.400
2875.412,12,8,+3.732,+0.429
2879.563,12,8,+3.662,+0.379
2883.968,12,8,+3.438,+0.334
2887.451,12,8,+3.099,+0.253
2896.729,12,8,+3.798,+0.462
2900.864,12,8,+3.802,+0.349
2901.94,12,8,+3.837,+0.277
2904.5,12,8,+4.084,+0.465
2906.038,12,8,+4.134,+0.508
2906.744,12,8,+4.129,+0.520
2910.78,12,8,+3.696,+0.462
2912.123,12,8,+3.681,+0.439
2914.31,12,8,+3.886,+0.445
2919.541,12,8,+4.182,+0.420
2925.209,12,8,+4.485,+0.448
2928.535,12,8,+4.487,+0.340
2931.976,12,8,+4.226,+0.230
2939.362,12,7,+4.226,+0.230
2939.442,12,7,+4.339,+0.477
2942.944,12,7,+4.263,+0.472
2947.07,12,7,+4.224,+0.248
2953.051,12,7,+4.482,+0.055
2957.934,12,6,+4.482,+0.055
2958.023,12,6,+4.933,+1.140
2962.009,12,6,+4.903,+1.132
2968.446,12,6,+4.835,+0.968
2973.883,12,6,+4.816,+0.961
2978.097,12,6,+4.720,+0.945
2982.48,12,6,+4.477,+0.930
2986.126,12,6,+4.143,+0.924
2994.597,12,6,+3.937,+0.857
2998.78,12,6,+3.849,+0.854
2999.78,12,6,+3.835,+0.851
3002.186,12,6,+3.916,+0.898
3003.64,12,6,+3.921,+0.890
3004.405,12,6,+3.919,+0.882
3009.619,12,6,+3.883,+0.847
3009.93,12,6,+3.835,+0.844
3012.342,12,6,+3.811,+0.898
3017.367,12,6,+3.902,+0.797
3022.755,12,6,+4.008,+0.732
3026.287,12,6,+4.014,+0.645
3029.755,12,6,+3.920,+0.629
3037.146,12,6,+4.154,+0.568
3040.786,12,6,+4.119,+0.570
3044.865,12,6,+3.956,+0.466
3050.697,12,6,+4.127,+0.545
3055.4,12,6,+4.235,+0.561
3059.432,12,6,+4.259,+0.570
3065.916,12,6,+4.397,+0.618
3071.463,12,6,+4.478,+0.577
3075.635,12,6,+4.404,+0.542
3079.963,12,6,+3.808,+0.443
3083.479,12,6,+3.704,+0.297
3091.963,12,6,+3.903,+0.352
3096.107,12,6,+3.852,+0.389
3097.135,12,6,+3.876,+0.449
3099.476,12,6,+3.934,+0.404
3100.898,12,6,+3.930,+0.375
3101.667,12,6,+3.912,+0.358
3105.841,12,6,+3.511,+0.257
3106.982,12,6,+3.535,+0.237
3109.451,12,6,+3.752,+0.287
3114.6,12,6,+3.863,+0.453
3120.293,12,6,+3.942,+0.371
3123.709,12,6,+4.032,+0.443
3127.207,12,6,+3.813,+0.428
3134.486,12,6,+3.757,+0.350
3138.111,12,6,+3.678,+0.290
3142.334,12,6,+3.705,+0.345
3148.223,12,6,+3.796,+0.368
3152.983,12,6,+3.894,+0.405
3156.944,12,6,+3.862,+0.375
3163.494,12,6,+3.897,+0.426
3169.065,12,6,+4.018,+0.452
3173.223,12,6,+3.956,+0.405
3177.443,12,6,+3.715,+0.312
3180.98,12,6,+3.364,+0.197
3189.63,12,6,+3.499,+0.156
3193.693,12,6,+3.405,+0.018
3194.597,12,5,+3.405,+0.018
3194.67,12,5,+3.444,+0.425
3197.386,12,5,+3.790,+0.793
3198.949,12,5,+3.884,+0.896
3199.796,12,5,+3.932,+0.949
3204.18,12,6,+3.932,+0.949
3204.322,12,6,+4.034,+0.072
3205.561,12,6,+4.159,+0.123
3208.076,12,6,+4.396,+0.273
3213.339,12,6,+4.679,+0.458
3218.844,12,6,+4.933,+0.330
3222.309,12,6,+4.918,+0.279
3225.773,12,6,+4.804,+0.217
3233.228,12,6,+5.123,+0.389
3236.885,12,6,+5.097,+0.347
3241.213,12,6,+5.273,+0.507
3246.95,12,6,+5.492,+0.531
3251.589,12,6,+5.608,+0.599
