Time,Driver,Position,GapToLeader,IntervalToPositionAhead
7.638,12,1,,
8.153,12,1,LAP 1,LAP 1
53.094,12,1,LAP 0,LAP 0
57.0,12,1,LAP 1,LAP 1
3449.576,12,2,LAP 1,LAP 1
3449.594,12,3,LAP 1,LAP 1
3449.703,12,3,+0.094,+0.047
3455.207,12,3,+0.696,+0.578
3460.275,12,2,+0.696,+0.578
3460.356,12,2,+1.544,+1.544
3464.373,12,2,+1.548,+1.548
3467.811,12,2,+1.578,+1.578
3470.227,12,2,+1.589,+1.589
3473.908,12,2,+1.734,+1.734
3478.866,12,2,+1.788,+1.788
3482.038,12,2,+1.749,+1.749
3485.382,12,2,+1.675,+1.675
3488.073,12,2,+1.609,+1.609
3491.257,12,2,+1.492,+1.492
3494.973,12,2,+1.364,+1.364
3500.475,12,2,+1.423,+1.423
3504.115,12,2,+1.473,+1.473
3508.379,12,2,+1.506,+1.506
3513.02,12,2,+1.512,+1.512
3517.177,12,2,+1.439,+1.439
3521.653,12,2,+1.306,+1.306
3525.706,12,2,+1.106,+1.106
3527.984,12,2,+1.091,+1.091
3532.276,12,2,+1.085,+1.085
3535.344,12,2,+1.142,+1.142
3538.464,12,2,+1.146,+1.146
3539.199,12,2,+1.149,+1.149
3542.278,12,2,+1.112,+1.112
3544.473,12,2,+1.253,+1.253
3548.907,12,2,+1.269,+1.269
3552.973,12,2,+1.237,+1.237
3556.808,12,2,+1.052,+1.052
3560.323,12,2,+1.089,+1.089
3562.681,12,2,+1.172,+1.172
3566.357,12,2,+1.352,+1.352
3571.339,12,2,+1.404,+1.404
3574.512,12,2,+1.384,+1.384
3577.867,12,2,+1.308,+1.308
3580.529,12,2,+1.166,+1.166
3583.773,12,2,+0.908,+0.908
3587.725,12,2,+0.868,+0.868
3593.112,12,2,+0.928,+0.928
3596.813,12,2,+1.056,+1.056
3601.157,12,2,+1.192,+1.192
3605.768,12,2,+1.195,+1.195
3609.957,12,2,+1.134,+1.134
3614.442,12,2,+1.001,+1.001
3618.557,12,2,+0.801,+0.801
3620.757,12,2,+0.867,+0.867
3625.143,12,2,+0.956,+0.956
3628.216,12,2,+1.000,+1.000
3631.391,12,2,+1.031,+1.031
