Time,Driver,Position,GapToLeader,IntervalToPositionAhead
12.365,63,1,,
47.042,63,1,LAP 0,LAP 0
47.047,63,1,LAP 1,LAP 1
3502.931,63,1,LAP 2,LAP 2
3575.055,63,1,LAP 3,LAP 3
3646.816,63,1,LAP 4,LAP 4
3718.575,63,1,LAP 5,LAP 5
3790.309,63,1,LAP 6,LAP 6
3862.249,63,1,LAP 7,LAP 7
3934.23,63,1,LAP 8,LAP 8
4006.292,63,1,LAP 9,LAP 9
4078.696,63,1,LAP 10,LAP 10
4151.219,63,1,LAP 11,LAP 11
4223.897,63,1,LAP 12,LAP 12
4296.812,63,1,LAP 13,LAP 13
4369.978,63,1,LAP 14,LAP 14
4442.964,63,1,LAP 15,LAP 15
4515.778,63,1,LAP 16,LAP 16
4588.545,63,1,LAP 17,LAP 17
4661.505,63,1,LAP 18,LAP 18
4734.378,63,1,LAP 19,LAP 19
4814.547,63,1,LAP 20,LAP 20
4816.844,63,2,LAP 20,LAP 20
4827.876,63,3,LAP 20,LAP 20
4837.431,63,3,+14.502,+3.363
4840.643,63,3,+14.737,+3.565
4843.15,63,3,+14.884,+3.700
4845.641,63,3,+14.884,+3.682
4848.041,63,3,+14.870,+3.636
4853.696,63,3,+14.698,+3.563
4858.327,63,3,+14.591,+3.368
4860.428,63,3,+14.618,+3.389
4868.036,63,3,+14.036,+3.187
4872.43,63,3,+13.988,+3.245
4877.917,63,3,+13.864,+3.095
4882.25,63,3,+13.705,+2.904
4887.469,63,3,+13.614,+2.784
4890.025,63,3,+13.731,+2.789
4893.229,63,3,+13.665,+2.637
4894.741,63,3,+13.660,+2.628
4897.773,63,3,+13.659,+2.482
4899.818,63,3,+13.650,+2.433
4900.544,63,3,+13.651,+2.418
4903.977,63,3,+13.676,+2.333
4905.624,63,3,+13.674,+2.321
4909.857,63,3,+13.527,+2.032
4912.808,63,3,+13.438,+1.924
4915.11,63,3,+13.404,+1.881
4917.645,63,3,+13.384,+1.832
4920.043,63,3,+13.394,+1.869
4925.369,63,3,+13.136,+1.666
4929.974,63,3,+13.037,+1.542
4932.081,63,3,+13.026,+1.514
4939.616,63,3,+12.825,+1.221
4943.973,63,3,+12.822,+1.206
4949.525,63,3,+12.786,+1.027
4953.947,63,3,+12.708,+0.839
4959.164,63,3,+12.629,+0.694
4961.67,63,3,+12.660,+0.610
4965.164,63,2,+12.660,+0.610
4965.244,63,2,+12.944,+12.944
4966.762,63,2,+12.984,+12.984
4970.793,63,2,+12.857,+12.857
4971.771,63,2,+12.787,+12.787
4972.483,63,2,+12.777,+12.777
4975.983,63,2,+12.801,+12.801
4977.634,63,2,+12.766,+12.766
4981.742,63,2,+12.536,+12.536
4984.735,63,2,+12.448,+12.448
4987.035,63,2,+12.439,+12.439
4989.529,63,2,+12.454,+12.454
4991.931,63,2,+12.493,+12.493
4997.455,63,2,+11.542,+11.542
5002.079,63,2,+11.274,+11.274
5004.234,63,2,+11.276,+11.276
5011.71,63,2,+10.906,+10.906
5016.04,63,2,+10.849,+10.849
5021.488,63,2,+10.678,+10.678
5025.774,63,2,+10.489,+10.489
5030.982,63,2,+10.381,+10.381
5033.478,63,2,+10.419,+10.419
5036.652,63,2,+10.331,+10.331
5038.124,63,2,+10.321,+10.321
5041.162,63,2,+10.309,+10.309
5043.244,63,2,+10.284,+10.284
5043.95,63,2,+10.283,+10.283
5047.375,63,2,+10.292,+10.292
5049.006,63,2,+10.225,+10.225
