Time,Driver,Position,GapToLeader,IntervalToPositionAhead
8.798,12,1,LAP 1,LAP 1
69.364,12,1,LAP 0,LAP 0
72.882,12,1,LAP 1,LAP 1
3350.567,12,2,LAP 1,LAP 1
3350.901,12,3,LAP 1,LAP 1
3351.171,12,3,+0.512,+0.239
3354.659,12,3,+0.618,+0.336
3358.833,12,3,+0.776,+0.313
3364.745,12,3,+1.021,+0.525
3368.611,12,3,+1.023,+0.527
3372.774,12,3,+0.888,+0.498
3374.026,12,3,+0.873,+0.510
3379.082,12,3,+1.160,+0.638
3384.509,12,3,+1.344,+0.746
3389.91,12,3,+1.229,+0.629
3393.773,12,3,+1.048,+0.550
3397.842,12,3,+1.227,+0.654
3400.398,12,3,+1.253,+0.670
3403.032,12,3,+1.268,+0.683
3406.843,12,3,+1.343,+0.605
3411.092,12,3,+1.326,+0.581
3413.536,12,3,+1.264,+0.548
3415.856,12,3,+1.168,+0.509
3417.804,12,3,+1.063,+0.476
3420.862,12,3,+1.033,+0.551
3426.003,12,3,+1.080,+0.613
3427.278,12,3,+1.034,+0.620
3432.933,12,3,+1.113,+0.534
3434.357,12,3,+1.164,+0.579
3436.36,12,3,+1.186,+0.554
3437.204,12,3,+1.172,+0.535
3441.966,12,3,+0.883,+0.327
3445.284,12,3,+0.751,+0.248
3448.843,12,3,+0.862,+0.295
3452.902,12,3,+1.074,+0.377
3458.867,12,3,+1.091,+0.427
3462.671,12,3,+1.087,+0.408
3466.794,12,3,+0.978,+0.396
3468.055,12,3,+1.050,+0.471
3473.135,12,3,+1.241,+0.645
3478.498,12,3,+1.258,+0.576
3483.895,12,3,+1.090,+0.444
3487.756,12,3,+0.885,+0.348
3491.894,12,3,+1.115,+0.446
3494.433,12,3,+1.141,+0.455
3497.048,12,3,+1.147,+0.469
3500.772,12,3,+1.358,+0.507
3505.385,12,3,+1.445,+0.588
3507.908,12,3,+1.433,+0.627
3510.263,12,3,+1.406,+0.688
3512.254,12,3,+1.357,+0.739
3515.287,12,3,+1.431,+0.781
3520.431,12,3,+1.496,+0.723
3521.747,12,3,+1.464,+0.682
3527.366,12,3,+1.570,+0.708
3528.789,12,3,+1.653,+0.747
3530.787,12,3,+1.681,+0.737
3531.666,12,3,+1.670,+0.723
3536.37,12,3,+1.415,+0.554
3539.684,12,3,+1.304,+0.511
3543.098,12,3,+1.329,+0.520
3547.553,12,3,+1.509,+0.606
3553.077,12,3,+1.476,+0.671
3556.935,12,3,+1.478,+0.656
3561.061,12,3,+1.415,+0.670
3562.276,12,3,+1.426,+0.704
3567.232,12,3,+1.591,+0.769
3572.638,12,3,+1.662,+0.839
3578.046,12,3,+1.536,+0.683
3581.874,12,3,+1.315,+0.529
3585.878,12,3,+1.440,+0.530
3588.365,12,3,+1.428,+0.504
3590.936,12,3,+1.394,+0.469
3594.667,12,3,+1.586,+0.569
3599.323,12,3,+1.600,+0.567
3601.949,12,3,+1.576,+0.586
3604.16,12,3,+1.528,+0.620
3606.14,12,3,+1.451,+0.636
3609.163,12,3,+1.416,+0.646
3614.336,12,3,+1.521,+0.640
3615.643,12,3,+1.471,+0.616
3621.293,12,3,+1.615,+0.638
3622.881,12,3,+1.700,+0.705
3624.823,12,3,+1.730,+0.727
3625.718,12,3,+1.725,+0.723
3630.473,12,3,+1.510,+0.611
3633.847,12,3,+1.436,+0.599
3637.212,12,3,+1.481,+0.641
3641.333,12,3,+1.566,+0.647
3647.281,12,3,+1.595,+0.747
3651.118,12,3,+1.610,+0.761
3655.266,12,3,+1.569,+0.809
3656.649,12,3,+1.585,+0.830
3661.53,12,3,+1.792,+0.821
3666.956,12,3,+1.874,+0.905
3672.369,12,3,+1.733,+0.750
3676.221,12,3,+1.514,+0.597
3680.259,12,3,+1.672,+0.666
3682.783,12,3,+1.696,+0.662
3685.359,12,3,+1.683,+0.636
3689.133,12,3,+1.891,+0.711
3693.718,12,3,+1.999,+0.760
3696.226,12,3,+1.999,+0.770
3698.589,12,3,+1.989,+0.788
3700.565,12,3,+1.956,+0.790
3703.593,12,3,+1.992,+0.786
3708.783,12,3,+2.109,+0.935
3710.052,12,3,+2.096,+0.997
3715.733,12,3,+2.271,+1.108
3717.179,12,3,+2.337,+1.157
3719.196,12,3,+2.365,+1.162
3720.094,12,3,+2.361,+1.153
3724.886,12,3,+2.192,+1.027
3728.143,12,3,+2.080,+0.958
3731.616,12,3,+2.134,+1.066
3735.679,12,3,+2.132,+1.041
3741.612,12,3,+2.139,+1.011
3745.495,12,3,+2.194,+1.045
3749.803,12,3,+2.308,+1.203
3751.058,12,3,+2.363,+1.265
3756.038,12,3,+2.419,+1.117
3761.613,12,3,+2.466,+1.149
3767.012,12,3,+2.364,+1.006
3770.885,12,3,+2.198,+0.893
3774.951,12,3,+2.344,+0.983
3777.46,12,3,+2.356,+0.982
3780.026,12,3,+2.347,+0.965
3783.67,12,3,+2.473,+1.064
3788.266,12,3,+2.549,+1.101
3790.79,12,3,+2.556,+1.101
3793.246,12,3,+2.571,+1.106
3795.28,12,3,+2.560,+1.101
3798.371,12,3,+2.621,+1.128
3803.504,12,3,+2.646,+1.087
3804.776,12,3,+2.615,+1.079
3810.495,12,3,+2.697,+1.086
3811.898,12,3,+2.757,+1.125
3813.952,12,3,+2.790,+1.151
3814.83,12,3,+2.792,+1.149
3819.674,12,3,+2.669,+1.054
3822.985,12,3,+2.592,+0.993
3826.527,12,3,+2.654,+1.054
3830.457,12,3,+2.690,+1.018
3836.438,12,3,+2.641,+1.004
3840.283,12,3,+2.654,+1.015
3844.511,12,3,+2.728,+1.120
3845.777,12,3,+2.749,+1.141
3850.734,12,3,+2.796,+1.102
3856.243,12,3,+2.787,+1.088
3861.754,12,3,+2.682,+0.945
3865.581,12,3,+2.545,+0.834
