Time,Driver,Position,GapToLeader,IntervalToPositionAhead
13.093,12,1,LAP 1,LAP 1
109.572,12,1,LAP 0,LAP 0
113.686,12,1,LAP 1,LAP 1
3391.815,12,2,LAP 1,LAP 1
3391.912,12,2,+0.029,+0.029
3394.296,12,3,+0.029,+0.029
3394.496,12,3,+0.236,+0.065
3399.454,12,2,+0.236,+0.065
3399.532,12,2,+0.296,+0.296
3405.551,12,2,+0.811,+0.811
3408.924,12,2,+0.750,+0.750
3412.455,12,2,+0.628,+0.628
3419.667,12,2,+0.784,+0.784
3423.376,12,2,+0.712,+0.712
3427.641,12,2,+0.848,+0.848
3433.469,12,2,+1.029,+1.029
3438.141,12,2,+1.102,+1.102
3442.154,12,2,+1.009,+1.009
3448.512,12,2,+1.119,+1.119
3453.799,12,2,+0.892,+0.892
3458.04,12,2,+0.851,+0.851
3462.533,12,2,+0.756,+0.756
3466.117,12,2,+0.616,+0.616
3474.598,12,2,+0.674,+0.674
3478.864,12,2,+0.596,+0.596
3479.895,12,2,+0.629,+0.629
3482.239,12,2,+0.692,+0.692
3483.692,12,2,+0.691,+0.691
3484.442,12,2,+0.689,+0.689
3488.777,12,2,+0.717,+0.717
3489.978,12,2,+0.696,+0.696
3492.506,12,2,+0.668,+0.668
3497.52,12,2,+0.541,+0.541
3503.208,12,2,+0.582,+0.582
3506.646,12,2,+0.479,+0.479
3510.255,12,2,+0.276,+0.276
3517.796,12,2,+0.323,+0.323
3521.436,12,2,+0.263,+0.263
3525.805,12,2,+0.362,+0.362
3531.795,12,2,+0.473,+0.473
3536.496,12,2,+0.480,+0.480
3540.529,12,2,+0.378,+0.378
3547.001,12,2,+0.465,+0.465
3552.367,12,2,+0.355,+0.355
3556.621,12,2,+0.368,+0.368
3561.007,12,2,+0.087,+0.087
3564.555,12,1,LAP 2,LAP 2
3582.905,12,1,LAP 3,LAP 3
3680.786,12,1,LAP 4,LAP 4
3778.187,12,1,LAP 5,LAP 5
3875.737,12,1,LAP 6,LAP 6
3972.868,12,1,LAP 7,LAP 7
4070.28,12,1,LAP 8,LAP 8
4167.605,12,1,LAP 9,LAP 9
4264.967,12,1,LAP 10,LAP 10
4371.578,12,1,LAP 11,LAP 11
4538.868,12,1,LAP 12,LAP 12
4688.779,12,1,LAP 13,LAP 13
4839.286,12,1,LAP 14,LAP 14
4938.269,12,1,LAP 15,LAP 15
5036.488,12,1,LAP 16,LAP 16
5133.117,12,1,LAP 17,LAP 17
5229.648,12,1,LAP 18,LAP 18
5326.704,12,1,LAP 19,LAP 19
5423.515,12,1,LAP 20,LAP 20
5520.284,12,1,LAP 21,LAP 21
5617.205,12,1,LAP 22,LAP 22
5713.863,12,1,LAP 23,LAP 23
5810.621,12,1,LAP 24,LAP 24
5907.151,12,1,LAP 25,LAP 25
6003.657,12,1,LAP 26,LAP 26
6100.231,12,1,LAP 27,LAP 27
6196.813,12,1,LAP 28,LAP 28
6293.417,12,1,LAP 29,LAP 29
