Time,Driver,Position,GapToLeader,IntervalToPositionAhead
4.45,12,1,,
5.662,12,1,LAP 1,LAP 1
86.356,12,1,LAP 0,LAP 0
86.356,12,1,LAP 1,LAP 1
110.403,12,1,LAP 0,LAP 0
114.028,12,1,LAP 1,LAP 1
3402.37,12,1,LAP 2,LAP 2
3480.043,12,1,LAP 3,LAP 3
3557.033,12,1,LAP 4,LAP 4
3634.065,12,1,LAP 5,LAP 5
3710.706,12,1,LAP 6,LAP 6
3787.463,12,1,LAP 7,LAP 7
3863.494,12,1,LAP 8,LAP 8
3939.779,12,1,LAP 9,LAP 9
4016.123,12,1,LAP 10,LAP 10
4093.186,12,1,LAP 11,LAP 11
4171.372,12,1,LAP 12,LAP 12
4248.823,12,1,LAP 13,LAP 13
4326.147,12,1,LAP 14,LAP 14
4403.334,12,1,LAP 15,LAP 15
4480.547,12,1,LAP 16,LAP 16
4557.801,12,1,LAP 17,LAP 17
4634.817,12,1,LAP 18,LAP 18
4711.62,12,1,LAP 19,LAP 19
4787.69,12,1,LAP 20,LAP 20
4864.155,12,1,LAP 21,LAP 21
4940.815,12,1,LAP 22,LAP 22
5017.213,12,1,LAP 23,LAP 23
5093.738,12,1,LAP 24,LAP 24
5170.38,12,1,LAP 25,LAP 25
5247.289,12,1,LAP 26,LAP 26
5324.4,12,1,LAP 27,LAP 27
5401.524,12,1,LAP 28,LAP 28
5478.145,12,1,LAP 29,LAP 29
5555.159,12,1,LAP 30,LAP 30
5631.992,12,1,LAP 31,LAP 31
5708.577,12,1,LAP 32,LAP 32
5785.516,12,1,LAP 33,LAP 33
5862.256,12,1,LAP 34,LAP 34
5939.432,12,1,LAP 35,LAP 35
6015.642,12,1,LAP 36,LAP 36
6091.996,12,1,LAP 37,LAP 37
6185.609,12,1,LAP 38,LAP 38
6267.78,12,1,LAP 39,LAP 39
6344.612,12,1,LAP 40,LAP 40
6421.338,12,1,LAP 41,LAP 41
6497.466,12,1,LAP 42,LAP 42
6573.756,12,1,LAP 43,LAP 43
6650.897,12,1,LAP 44,LAP 44
6726.64,12,1,LAP 45,LAP 45
6803.652,12,1,LAP 46,LAP 46
6880.68,12,1,LAP 47,LAP 47
6956.465,12,1,LAP 48,LAP 48
7032.493,12,1,LAP 49,LAP 49
7108.568,12,1,LAP 50,LAP 50
7185.434,12,1,LAP 51,LAP 51
7261.416,12,1,LAP 52,LAP 52
7337.588,12,1,LAP 53,LAP 53
7414.307,12,1,LAP 54,LAP 54
7490.213,12,1,LAP 55,LAP 55
7565.218,12,1,LAP 56,LAP 56
7640.505,12,1,LAP 57,LAP 57
7715.691,12,1,LAP 58,LAP 58
7791.44,12,1,LAP 59,LAP 59
7867.52,12,1,LAP 60,LAP 60
7949.958,12,1,LAP 61,LAP 61
8086.805,12,1,LAP 62,LAP 62
8207.118,12,1,LAP 63,LAP 63
8327.541,12,1,LAP 64,LAP 64
8460.344,12,1,LAP 65,LAP 65
8579.643,12,1,LAP 66,LAP 66
8690.789,12,1,LAP 67,LAP 67
8796.314,12,1,LAP 68,LAP 68
11058.985,12,1,LAP 69,LAP 69
11162.571,12,1,LAP 70,LAP 70
11329.827,12,1,LAP 71,LAP 71
11410.034,12,1,LAP 72,LAP 72
11485.719,12,1,LAP 73,LAP 73
11560.342,12,1,LAP 74,LAP 74
11634.354,12,1,LAP 75,LAP 75
11708.26,12,1,LAP 76,LAP 76
11781.777,12,1,LAP 77,LAP 77
11855.682,12,1,LAP 78,LAP 78
4.45,44,3,,
3330.129,44,3,+0.745,
3333.192,44,2,+0.745,
3333.27,44,2,+0.856,+0.856
3336.332,44,2,+0.917,+0.917
3339.411,44,2,+1.130,+1.130
3343.739,44,2,+1.140,+1.140
3345.506,44,2,+1.114,+1.114
3351.998,44,2,+1.027,+1.027
3356.82,44,2,+1.137,+1.137
3359.445,44,2,+1.091,+1.091
3362.695,44,2,+1.093,+1.093
3369.82,44,2,+1.089,+1.089
3374.07,44,2,+1.276,+1.276
3377.492,44,2,+1.300,+1.300
3380.101,44,2,+1.410,+1.410
3382.758,44,2,+1.486,+1.486
3386.125,44,2,+1.528,+1.528
3390.76,44,2,+1.619,+1.619
3396.019,44,2,+1.793,+1.793
3400.526,44,2,+1.799,+1.799
3403.37,44,2,+1.807,+1.807
3404.167,44,2,+1.812,+1.812
3409.901,44,2,+1.977,+1.977
3412.933,44,2,+2.027,+2.027
3415.995,44,2,+2.092,+2.092
3418.901,44,2,+2.291,+2.291
3423.089,44,2,+2.321,+2.321
3424.839,44,2,+2.332,+2.332
3431.167,44,2,+2.328,+2.328
3435.73,44,2,+2.272,+2.272
3438.433,44,2,+2.282,+2.282
3441.714,44,2,+2.355,+2.355
3446.823,44,2,+2.316,+2.316
3448.808,44,2,+2.328,+2.328
3453.027,44,2,+2.533,+2.533
3456.402,44,2,+2.495,+2.495
3459.011,44,2,+2.545,+2.545
3461.605,44,2,+2.614,+2.614
3464.933,44,2,+2.660,+2.660
3469.636,44,2,+2.770,+2.770
3474.839,44,2,+2.884,+2.884
3479.292,44,2,+2.900,+2.900
3482.105,44,2,+2.897,+2.897
