Time,Driver,Position,GapToLeader,IntervalToPositionAhead
5.437,63,1,LAP 1,LAP 1
39.375,63,1,LAP 0,LAP 0
39.391,63,1,LAP 1,LAP 1
3765.452,63,2,LAP 1,LAP 1
3766.031,63,3,LAP 1,LAP 1
3766.453,63,3,+0.801,+0.293
3770.818,63,3,+0.791,+0.282
3774.209,63,3,+1.126,+0.438
3778.631,63,3,+1.627,+0.648
3782.085,63,3,+1.816,+0.732
3787.959,63,3,+2.272,+1.059
3791.818,63,3,+2.207,+0.973
3797.234,63,3,+2.047,+0.907
3802.39,63,3,+2.166,+0.881
3805.515,63,3,+2.227,+0.941
3808.574,63,3,+2.172,+0.936
3815.868,63,3,+2.291,+1.013
3820.826,63,3,+1.986,+0.892
3823.572,63,3,+1.886,+0.869
3828.072,63,3,+1.681,+0.793
3832.525,63,3,+1.812,+0.850
3835.631,63,3,+1.870,+0.698
3839.822,63,3,+1.800,+0.647
3840.494,63,3,+1.784,+0.625
3843.822,63,3,+1.810,+0.559
3848.994,63,3,+2.011,+0.582
3853.181,63,3,+1.752,+0.634
3856.49,63,3,+1.849,+0.826
3860.447,63,3,+1.897,+0.755
3863.697,63,3,+1.798,+0.719
3869.213,63,3,+1.879,+0.955
3872.963,63,3,+1.513,+0.913
3878.338,63,3,+1.236,+0.924
3883.343,63,3,+1.326,+0.864
3886.267,63,3,+1.158,+0.676
3889.219,63,3,+0.991,+0.626
3896.469,63,3,+1.055,+0.591
3901.454,63,3,+0.690,+0.522
3904.204,63,3,+0.559,+0.481
3908.673,63,3,+0.280,+0.218
3913.391,63,3,+1.309,+0.364
3916.577,63,3,+1.309,+0.357
3920.65,63,2,+1.309,+0.357
3920.729,63,2,+0.176,+0.176
3921.526,63,2,+0.103,+0.103
3924.713,63,2,+0.069,+0.069
3930.104,63,2,+0.423,+0.423
3934.229,63,2,+0.465,+0.465
3937.463,63,2,+0.595,+0.595
3941.204,63,2,+0.635,+0.635
3944.438,63,2,+0.625,+0.625
3949.876,63,2,+0.782,+0.782
3953.501,63,2,+0.807,+0.807
3958.851,63,2,+0.758,+0.758
3963.663,63,2,+0.808,+0.808
3966.46,63,2,+0.746,+0.746
3969.507,63,2,+0.712,+0.712
3976.46,63,2,+0.798,+0.798
3981.476,63,2,+0.819,+0.819
3984.226,63,2,+0.789,+0.789
3988.779,63,2,+0.658,+0.658
3993.123,63,2,+0.733,+0.733
3996.076,63,2,+0.647,+0.647
4000.123,63,2,+0.571,+0.571
4000.841,63,2,+0.549,+0.549
4004.045,63,2,+0.565,+0.565
4008.935,63,2,+0.681,+0.681
4012.92,63,2,+0.615,+0.615
4016.06,63,2,+0.661,+0.661
4019.81,63,2,+0.713,+0.713
4022.967,63,2,+0.687,+0.687
4028.373,63,2,+0.779,+0.779
4031.967,63,2,+0.850,+0.850
4037.295,63,2,+0.785,+0.785
4041.998,63,2,+0.900,+0.900
4044.805,63,2,+0.850,+0.850
4047.898,63,2,+0.787,+0.787
4054.695,63,2,+0.840,+0.840
4059.615,63,2,+0.858,+0.858
4062.385,63,2,+0.815,+0.815
4066.883,63,2,+0.606,+0.606
4071.11,63,2,+0.646,+0.646
4073.983,63,2,+0.584,+0.584
4078.064,63,2,+0.525,+0.525
4078.809,63,2,+0.520,+0.520
4082.015,63,2,+0.602,+0.602
4086.765,63,2,+0.673,+0.673
4090.745,63,2,+0.636,+0.636
4093.855,63,2,+0.680,+0.680
4097.45,63,2,+0.726,+0.726
4100.573,63,2,+0.710,+0.710
4105.855,63,2,+0.768,+0.768
4109.433,63,2,+0.837,+0.837
4114.714,63,2,+0.760,+0.760
4119.339,63,2,+0.826,+0.826
4122.147,63,2,+0.781,+0.781
4125.127,63,2,+0.711,+0.711
4131.933,63,2,+0.827,+0.827
4136.855,63,2,+0.854,+0.854
4139.605,63,2,+0.813,+0.813
4144.074,63,2,+0.568,+0.568
4148.214,63,2,+0.617,+0.617
4151.058,63,2,+0.586,+0.586
4155.089,63,2,+0.511,+0.511
4155.824,63,2,+0.496,+0.496
4158.987,63,2,+0.501,+0.501
4163.677,63,2,+0.589,+0.589
4167.724,63,2,+0.519,+0.519
4170.771,63,2,+0.557,+0.557
4174.38,63,2,+0.569,+0.569
4177.446,63,2,+0.535,+0.535
4182.696,63,2,+0.589,+0.589
4186.118,63,2,+0.610,+0.610
4191.399,63,2,+0.484,+0.484
4195.993,63,2,+0.532,+0.532
4198.758,63,2,+0.496,+0.496
4201.727,63,2,+0.409,+0.409
4208.736,63,2,+0.621,+0.621
4213.518,63,2,+0.582,+0.582
4216.268,63,2,+0.524,+0.524
4220.533,63,2,+0.100,+0.100
4224.565,63,1,LAP 6,LAP 6
4232.218,63,1,LAP 7,LAP 7
4308.783,63,1,LAP 8,LAP 8
4384.903,63,1,LAP 9,LAP 9
4460.716,63,1,LAP 10,LAP 10
4536.495,63,1,LAP 11,LAP 11
4612.051,63,1,LAP 12,LAP 12
4664.808,63,2,LAP 12,LAP 12
4665.464,63,2,+0.516,+0.516
4670.027,63,2,+0.220,+0.220
4672.714,63,2,+0.144,+0.144
4677.043,63,1,LAP 12,LAP 12
4688.836,63,1,LAP 13,LAP 13
4766.203,63,1,LAP 14,LAP 14
4842.374,63,1,LAP 15,LAP 15
4918.185,63,1,LAP 16,LAP 16
4993.669,63,1,LAP 17,LAP 17
5046.189,63,2,LAP 17,LAP 17
5046.298,63,2,+0.003,+0.003
5050.923,63,1,LAP 17,LAP 17
5058.158,63,2,LAP 17,LAP 17
5058.267,63,2,+0.019,+0.019
5062.376,63,1,LAP 17,LAP 17
5070.189,63,1,LAP 18,LAP 18
5145.908,63,1,LAP 19,LAP 19
5221.49,63,1,LAP 20,LAP 20
5297.034,63,1,LAP 21,LAP 21
5372.8,63,1,LAP 22,LAP 22
5437.347,63,2,LAP 22,LAP 22
5437.473,63,2,+0.066,+0.066
5441.879,63,2,+0.457,+0.457
5444.707,63,2,+0.502,+0.502
5448.738,63,2,+0.358,+0.358
5449.441,63,2,+0.329,+0.329
5452.629,63,2,+0.390,+0.390
5457.363,63,2,+0.604,+0.604
5461.341,63,2,+0.671,+0.671
