Time,Driver,Position,GapToLeader,IntervalToPositionAhead
5.783,63,1,,
64.211,63,1,LAP 0,LAP 0
67.789,63,1,LAP 1,LAP 1
2745.337,63,1,LAP 2,LAP 2
2820.708,63,1,LAP 3,LAP 3
2895.713,63,1,LAP 4,LAP 4
2970.436,63,1,LAP 5,LAP 5
3045.577,63,1,LAP 6,LAP 6
3054.014,63,2,LAP 6,LAP 6
3054.124,63,2,+0.001,+0.001
3057.999,63,1,LAP 6,LAP 6
3122.785,63,1,LAP 7,LAP 7
3197.967,63,1,LAP 8,LAP 8
3272.95,63,1,LAP 9,LAP 9
3347.686,63,1,LAP 10,LAP 10
3422.468,63,1,LAP 11,LAP 11
3497.561,63,1,LAP 12,LAP 12
3572.433,63,1,LAP 13,LAP 13
3647.243,63,1,LAP 14,LAP 14
3722.221,63,1,LAP 15,LAP 15
3796.891,63,1,LAP 16,LAP 16
3871.629,63,1,LAP 17,LAP 17
3946.751,63,1,LAP 18,LAP 18
4021.508,63,1,LAP 19,LAP 19
4096.214,63,1,LAP 20,LAP 20
4171.015,63,1,LAP 21,LAP 21
4245.747,63,1,LAP 22,LAP 22
4320.722,63,1,LAP 23,LAP 23
5.783,12,2,,
2672.199,12,2,+0.243,+0.243
2677.552,12,2,+0.572,+0.572
2681.646,12,2,+0.640,+0.640
2684.846,12,2,+0.747,+0.747
2688.442,12,2,+0.768,+0.768
2691.502,12,2,+0.792,+0.792
2696.574,12,2,+0.690,+0.690
2700.139,12,2,+0.705,+0.705
2705.368,12,2,+0.605,+0.605
2709.993,12,2,+0.639,+0.639
2712.712,12,2,+0.682,+0.682
2715.615,12,2,+0.636,+0.636
2722.227,12,2,+0.601,+0.601
2727.102,12,2,+0.634,+0.634
2729.79,12,2,+0.585,+0.585
2734.196,12,2,+0.419,+0.419
2738.29,12,2,+0.331,+0.331
2741.196,12,2,+0.521,+0.521
2745.181,12,2,+0.556,+0.556
2745.852,12,2,+0.538,+0.538
2748.993,12,2,+0.541,+0.541
